Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Costa Rica,CRI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.04522991,7.28587723,7.2212491,7.855371,..
Cote d'Ivoire,CIV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.3050983,3.1189115,3.28960407,3.72245775,..
Croatia,HRV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.67034649,6.75780032,6.81108999,7.76502275,..
Cuba,CUB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.47197342,11.0184288,11.08496857,12.48644733,..
Curacao,CUW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..
Cyprus,CYP,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.64387274,6.84573793,6.94943047,8.0934782,..
Czechia,CZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.38071537,7.47199488,7.60487127,9.24007225,..
Denmark,DNK,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.09825516,10.09764194,10.12139606,10.52817535,10.84632206
Djibouti,DJI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.46476936,2.26254511,2.01711535,2.00786304,..
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.27874804,6.0794425,5.13174009,5.64582825,..
Dominican Republic,DOM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.49336958,4.12601566,4.23948717,4.94000483,..
Ecuador,ECU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.42857933,7.86490965,7.81824636,8.47677135,..
"Egypt, Arab Rep.",EGY,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.63305616,4.99379301,4.83619261,4.36497974,..
El Salvador,SLV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.42286873,8.32511997,8.502141,9.85177708,..
Equatorial Guinea,GNQ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.95976019,3.10309863,3.0297935,3.7683413,..
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.72767901,4.12820911,4.45916176,4.09359646,..
Estonia,EST,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.59727049,6.72095728,6.82277584,7.75206661,7.46633816
Eswatini,SWZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.98103714,7.23889112,6.74539423,6.51153374,..
Ethiopia,ETH,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.45336914,3.30371761,3.23382378,3.48096275,..
Faroe Islands,FRO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..
