Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Sao Tome and Principe,STP,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,110.89,106.54,105.53,103.68,104.42
Saudi Arabia,SAU,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,121.02,126.72,137.09,157.4,158.96
Senegal,SEN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,132.78,152.97,152.2,181.33,177.74
Serbia,SRB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,90.74,107.77,107.88,110.95,104.22
Seychelles,SYC,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,89.9,103.16,101.94,97.95,94.85
Sierra Leone,SLE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,84.46,88.63,78.18,91.46,130.16
Singapore,SGP,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,133.2,112.51,123.76,123.62,112.25
Sint Maarten (Dutch part),SXM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
Slovak Republic,SVK,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,91.88,97.9,97.94,101.26,97.38
Slovenia,SVN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,97.55,102.6,99.91,105,97.41
Solomon Islands,SLB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,100.37,101.26,100.05,100.68,102.23
Somalia,SOM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,98.18,98.14,100.51,100.75,98.51
South Africa,ZAF,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,105.85,104.32,104.54,111.39,114.31
South Sudan,SSD,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,100.15,101.95,107.01,105.07,113.01
Spain,ESP,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.65,117.74,106.66,117.57,116.91
Sri Lanka,LKA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,83.18,105,107.94,125.88,130.31
St. Kitts and Nevis,KNA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,95.34,97.24,97.08,95.22,98.5
St. Lucia,LCA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,99.49,103.29,98.81,86.57,75.92
St. Martin (French part),MAF,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,99.32,101.87,104.15,104.85,103.83
Sudan,SDN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.73,117.6,114.97,115.54,113.66
Suriname,SUR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,103.52,97.94,94.71,85.81,87.79
Sweden,SWE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,100.96,84.16,100.78,101.18,96.49
Switzerland,CHE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,97.74,101.65,97.32,99.03,95.33
Syrian Arab Republic,SYR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,103.99,98.55,113.74,122.9,104.06
Tajikistan,TJK,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,119.36,131.7,138.7,135.94,128.77
Tanzania,TZA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,99.07,107.75,108.47,112.31,113.67
Thailand,THA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.99,104.16,100.22,94.36,98.35
Timor-Leste,TLS,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,92.39,92.38,91.85,86.73,76.34
Togo,TGO,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,103.12,106.41,108.67,111.05,112.48
Tonga,TON,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,98.56,96.91,96.98,96.9,94.39
Trinidad and Tobago,TTO,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,107.2,109.48,93.92,89.52,89.53
Tunisia,TUN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,93.75,113.37,104.15,122.95,103.68
Turkiye,TUR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,109,109.14,115.05,120.68,120.5
Turkmenistan,TKM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,96.78,99.38,111.39,109.57,108.85
Turks and Caicos Islands,TCA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
Tuvalu,TUV,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.93,102,112.48,112.9,108.96
Uganda,UGA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,103.54,103.25,118.7,127.8,122.57
Ukraine,UKR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,100.03,107.28,109.39,99.29,113.94
United Arab Emirates,ARE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,107.31,111.43,114.48,118.28,124.71
United Kingdom,GBR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,102.2,99.6,103.58,97.09,98.99
United States,USA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.96,103.2,99.65,104.05,105.46
Uruguay,URY,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,104.32,88.76,101.5,91.82,98.83
Uzbekistan,UZB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.18,105.11,105.23,106.96,109.94
Vanuatu,VUT,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,104.9,103.99,104.89,103.28,104.56
"Venezuela, RB",VEN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,88.83,82.03,82.12,86.85,85.78
Viet Nam,VNM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.67,105.31,104.83,106.07,111.65
Virgin Islands (U.S.),VIR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
West Bank and Gaza,PSE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.25,103.58,123.93,98.54,104.46
"Yemen, Rep.",YEM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,91.56,90.93,104.33,108.21,104.92
Zambia,ZMB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,124.86,117.76,112.74,122.8,128.88
Zimbabwe,ZWE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,106.55,108.86,105.55,109.6,132.04
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,
