Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Dominican Republic,DOM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,25.6,22.8,21,23.4,23.9
Ecuador,ECU,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,21.5,23.2,25,33,27.7
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,29.7,..,..
El Salvador,SLV,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,26.2,24.6
Equatorial Guinea,GNQ,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Eritrea,ERI,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Estonia,EST,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,21.9,21.7,20.7,20.6,22.8
Eswatini,SWZ,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Ethiopia,ETH,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Faroe Islands,FRO,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Fiji,FJI,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,24.1,..,..
Finland,FIN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,12,11.6,12.2,10.8,12.7
France,FRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,14.2,14.3,15.6
French Polynesia,PYF,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Gabon,GAB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,33.4,..,..,..,..
"Gambia, The",GMB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,53.4,..
Georgia,GEO,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,21.9,20.1,19.5,21.3,17.5
Germany,DEU,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,16.1,16,14.7
Ghana,GHA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Gibraltar,GIB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
