Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Denmark,DNK,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.11,75.83,103.74,103.05,96.17
Djibouti,DJI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,123.49,138.76,158.49,168.83,184.78
Dominica,DMA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.71,99.23,100.2,99.99,99.48
Dominican Republic,DOM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.01,117.56,120.14,119.4,120.52
Ecuador,ECU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.66,93.4,94.94,96.12,103.98
"Egypt, Arab Rep.",EGY,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.63,96.22,101.21,101.76,100.97
El Salvador,SLV,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.19,103.37,107.01,101.81,102.61
Equatorial Guinea,GNQ,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.97,102.56,102.84,102.88,102.19
Eritrea,ERI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.67,99.98,99.93,100.13,100.14
Estonia,EST,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.72,71.14,120.29,122.38,101.94
Eswatini,SWZ,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.14,105.24,104.84,103.6,103.36
Ethiopia,ETH,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.37,105.94,108.11,116.94,113.02
Faroe Islands,FRO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.28,98.61,99.43,99.78,100.13
Fiji,FJI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.46,103.23,109.58,115.04,110.53
Finland,FIN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.69,80.26,106.37,92.98,78.24
France,FRA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.39,96.93,100.05,89.06,96.21
French Polynesia,PYF,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.15,101.9,101.9,101.95,101.93
Gabon,GAB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.19,102.95,103.89,103.73,104.97
"Gambia, The",GMB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,76.08,46.85,55.91,61.15,59.66
Georgia,GEO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,81.83,103.82,107.25,126.59,126.88
Germany,DEU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.45,81.75,88.66,90.62,90.34
Ghana,GHA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.02,113.06,115.98,118.58,117.99
Gibraltar,GIB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Greece,GRC,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.6,99.7,102.71,102.65,95.11
Greenland,GRL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Grenada,GRD,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.93,91.83,83.52,80.29,84.19
Guam,GUM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Guatemala,GTM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.43,97.61,95.49,96.86,98.02
Guinea,GIN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,110.06,115.25,118.48,123.52,128.72
Guinea-Bissau,GNB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.66,109.11,115.27,120.59,125.19
Guyana,GUY,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.45,108.1,107.37,109.58,99.83
Haiti,HTI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,92.1,86.71,76.09,69.97,76.76
Honduras,HND,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,119.59,122.06,119.5,107.34,104.99
"Hong Kong SAR, China",HKG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.06,100.18,99.63,99.76,99.72
Hungary,HUN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.17,99.05,97.18,93.94,85.88
Iceland,ISL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.79,82.85,109.87,102.84,101.66
India,IND,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.38,110.94,112.34,115.75,120.6
Indonesia,IDN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.58,112.73,107.59,110.17,110.75
"Iran, Islamic Rep.",IRN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.01,84.46,92.01,82.26,78.24
Iraq,IRQ,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,75.67,72.5,127.22,158.24,127.21
Ireland,IRL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.13,73.32,90.49,79.1,95.17
Isle of Man,IMN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Israel,ISR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.34,92.34,96.15,93.26,93.35
Italy,ITA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.94,95.41,93.88,97.25,95.56
Jamaica,JAM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.28,102.92,100.59,97.66,104.4
Japan,JPN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.54,96.51,97.73,95.97,95.93
Jordan,JOR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,88.05,90.87,85.86,87.13,91.82
Kazakhstan,KAZ,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,114.31,117.15,108.72,117.24,108.79
Kenya,KEN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.25,108.82,108.6,125.95,119.11
Kiribati,KIR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,120.15,107.87,92.74,92.74,95.77
"Korea, Dem. People's Rep.",PRK,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.93,91.1,102.54,94.38,92.34
"Korea, Rep.",KOR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.22,97.18,97.11,90.28,95.72
Kosovo,XKX,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Kuwait,KWT,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.96,100.31,120.73,120.97,117.85
Kyrgyz Republic,KGZ,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.19,109.07,109.81,108.75,97.65
Lao PDR,LAO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.29,99.12,97.93,101.85,113.14
Latvia,LVA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.8,70.99,106.44,117.2,100.43
Lebanon,LBN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.32,103.84,99.42,99.34,97.63
Lesotho,LSO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,149.48,131.1,85.68,86.91,117.11
Liberia,LBR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.53,100.15,105.64,108.05,106.62
Libya,LBY,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.32,100.85,99.67,99.48,99.67
Liechtenstein,LIE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Lithuania,LTU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.91,75.33,94.09,117.83,99.47
Luxembourg,LUX,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.01,103.18,92.85,89.56,86.94
"Macao SAR, China",MAC,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.61,102.77,103.35,104.19,103.44
Madagascar,MDG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,97.26,102.05,102.54,103.76,105.54
Malawi,MWI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,111.86,115.07,125.13,129.48,133.78
Malaysia,MYS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.42,103.28,103.39,100.43,95.85
Maldives,MDV,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.55,100.9,105.39,106.44,92.92
Mali,MLI,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,115.23,125.12,128.69,126.48,126.49
Malta,MLT,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.98,65.69,59.71,55.87,53.89
Marshall Islands,MHL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,126.67,80,90.04,90.04,95.42
