Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Finland,FIN,Income share held by highest 10%,SI.DST.10TH.10,22.6,22.6,23,22.6,..
France,FRA,Income share held by highest 10%,SI.DST.10TH.10,25.8,26.7,24.8,24.5,..
French Polynesia,PYF,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Gabon,GAB,Income share held by highest 10%,SI.DST.10TH.10,27.7,..,..,..,..
"Gambia, The",GMB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,30.6,..
Georgia,GEO,Income share held by highest 10%,SI.DST.10TH.10,28.9,27.5,27.6,26.2,26.2
Germany,DEU,Income share held by highest 10%,SI.DST.10TH.10,24.8,25.2,25.2,..,..
Ghana,GHA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Gibraltar,GIB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Greece,GRC,Income share held by highest 10%,SI.DST.10TH.10,25.9,24.9,24.9,25.2,..
Greenland,GRL,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Grenada,GRD,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Guam,GUM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Guatemala,GTM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Guinea,GIN,Income share held by highest 10%,SI.DST.10TH.10,..,23.1,..,..,..
Guinea-Bissau,GNB,Income share held by highest 10%,SI.DST.10TH.10,..,27.6,..,..,..
Guyana,GUY,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Haiti,HTI,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Honduras,HND,Income share held by highest 10%,SI.DST.10TH.10,36.6,35.3,34.6,..,..
"Hong Kong SAR, China",HKG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Hungary,HUN,Income share held by highest 10%,SI.DST.10TH.10,23.9,23.2,23.3,23.3,..
Iceland,ISL,Income share held by highest 10%,SI.DST.10TH.10,22.1,..,..,..,..
India,IND,Income share held by highest 10%,SI.DST.10TH.10,30.5,28.4,28.4,28,27.8
Indonesia,IDN,Income share held by highest 10%,SI.DST.10TH.10,30.2,29.9,29.5,29.5,30.1
"Iran, Islamic Rep.",IRN,Income share held by highest 10%,SI.DST.10TH.10,31.3,32.5,31.7,..,..
Iraq,IRQ,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Ireland,IRL,Income share held by highest 10%,SI.DST.10TH.10,25.4,25.1,25.1,23.8,..
Isle of Man,IMN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Israel,ISR,Income share held by highest 10%,SI.DST.10TH.10,27,27.6,..,..,..
Italy,ITA,Income share held by highest 10%,SI.DST.10TH.10,26.7,25.9,25.8,26.1,..
Jamaica,JAM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Japan,JPN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
